house,title,district,name,party_aff,official_phone,official_email,reviewed,needs_update,notes
Common Council,Alderman,11,Peter Burgelis,NA,414-286-3768,Peter.Burgelis@milwaukee.gov,,,
Common Council,Alderman,12,Jose G. Perez,NA,414-286-2861,JPerez@milwaukee.gov,,,
Common Council,Alderman,13,Scott Spiker,NA,414-286-8537,scott.spiker@milwaukee.gov,,,
Common Council,Alderwoman,14,Marina Dimitrijevic,NA,414-286-3769,Marina@milwaukee.gov,,,
Common Council,Alderman,15,Russell W. Stamper,NA,414-286-2221,russell.stamper@milwaukee.gov,,,
Senate,Senator,1,Andre Jacque,R,608-266-3512,Sen.Jacque@legis.wisconsin.gov,,,
Senate,Senator,2,Eric Wimberger,R,608-266-5670,Sen.Wimberger@legis.wisconsin.gov,,,
Senate,Senator,3,Tim Carpenter,D,608-266-8535,Sen.Carpenter@legis.wisconsin.gov,,,
Senate,Senator,4,Dora Drake,D,NA,NA,,,
Senate,Senator,5,Rob Hutton,R,608-266-2512,Sen.Hutton@legis.wisconsin.gov,,,
Senate,Senator,6,La Tonya Johnson,D,608-266-2500,Sen.Johnson@legis.wisconsin.gov,,,
Senate,Senator,7,Chris Larson,D,608-266-7505,Sen.Larson@legis.wisconsin.gov,,,
Senate,Senator,8,Jodi Habush Sinykin,D,NA,NA,,,
Senate,Senator,9,Devin LeMahieu,R,608-266-2056,Sen.LeMahieu@legis.wisconsin.gov,,,
Senate,Senator,10,Rob Stafsholt,R,608-266-7745,Sen.Stafsholt@legis.wisconsin.gov,,,
Senate,Senator,11,Stephen Nass,R,608-266-2635,Sen.Nass@legis.wisconsin.gov,,,
Senate,Senator,12,Mary Felzkowski,R,608-266-2509,Sen.Felzkowski@legis.wisconsin.gov,,,
Senate,Senator,13,John Jagler,R,608-266-5660,Sen.Jagler@legis.wisconsin.gov,,,
Senate,Senator,14,Sarah Keyeski,D,NA,NA,,,
Senate,Senator,15,Mark Spreitzer,D,608-266-2253,Sen.Spreitzer@legis.wisconsin.gov,,,
Senate,Senator,16,Melissa Ratcliff,D,NA,NA,,,
Senate,Senator,17,Howard Marklein,R,608-266-0703,Sen.Marklein@legis.wisconsin.gov,,,
Senate,Senator,18,Kristin Alfheim,D,NA,NA,,,
Senate,Senator,19,Rachael Cabral-Guevara,R,608-266-0718,Sen.Cabral-Guevara@legis.wisconsin.gov,,,
Senate,Senator,20,Dan Feyen,R,608-266-5300,Sen.Feyen@legis.wisconsin.gov,,,
Senate,Senator,21,Van H. Wanggaard,R,608-266-1832,Sen.Wanggaard@legis.wisconsin.gov,,,
Senate,Senator,22,Robert Wirch,D,608-267-8979,Sen.Wirch@legis.wisconsin.gov,,,
Senate,Senator,23,Jesse James,R,608-266-7511,Sen.James@legis.wisconsin.gov,,,
Senate,Senator,24,Patrick Testin,R,608-266-3123,Sen.Testin@legis.wisconsin.gov,,,
Senate,Senator,25,Romaine Quinn,R,608-266-3510,Sen.Quinn@legis.wisconsin.gov,,,
Senate,Senator,26,Kelda Roys,D,608-266-1627,Sen.Roys@legis.wisconsin.gov,,,
Senate,Senator,27,Dianne Hesselbein,D,608-266-6670,Sen.Hesselbein@legis.wisconsin.gov,,,
Senate,Senator,28,Julian Bradley,R,608-266-5400,Sen.Bradley@legis.wisconsin.gov,,,
Senate,Senator,29,Cory Tomczyk,R,608-266-2502,Sen.Tomczyk@legis.wisconsin.gov,,,
Senate,Senator,30,Jamie Wall,D,NA,NA,,,
Senate,Senator,31,Jeff Smith,D,608-266-8546,Sen.Smith@legis.wisconsin.gov,,,
Senate,Senator,32,Brad Pfaff,D,608-266-5490,Sen.Pfaff@legis.wisconsin.gov,,,
Senate,Senator,33,Chris Kapenga,R,608-266-9174,Sen.Kapenga@legis.wisconsin.gov,,,
Assembly,Representative,1,Joel Kitchens,R,608-266-5350,Rep.Kitchens@legis.wisconsin.gov,,,
Assembly,Representative,2,Shae Sortwell,R,608-266-9870,Rep.Sortwell@legis.wisconsin.gov,,,
Assembly,Representative,3,Ron Tusler,R,608-266-5831,Rep.Tusler@legis.wisconsin.gov,,,
Assembly,Representative,4,David Steffen,R,608-266-5840,Rep.Steffen@legis.wisconsin.gov,,,
Assembly,Representative,5,Joy Goeben,R,608-266-2401,Rep.Goeben@legis.wisconsin.gov,,,
Assembly,Representative,6,Elijah Behnke,R,608-266-2343,Rep.Behnke@legis.wisconsin.gov,,,
Assembly,Representative,7,Karen Kirsch,D,NA,NA,,,
Assembly,Representative,8,Sylvia Ortiz-Velez,D,608-267-7669,Rep.Ortiz-Velez@legis.wisconsin.gov,,,
Assembly,Representative,9,Priscilla Prado,D,NA,NA,,,
Assembly,Representative,10,Darrin Madison,D,608-266-7671,Rep.Madison@legis.wisconsin.gov,,,
Assembly,Representative,11,Sequanna Taylor,D,NA,NA,,,
Assembly,Representative,12,"Russell Antonio Goodwin, Sr",D,NA,NA,,,
Assembly,Representative,13,Robyn Vining,D,608-266-9180,Rep.Vining@legis.wisconsin.gov,,,
Assembly,Representative,14,Angelito Tenorio,D,NA,NA,,,
Assembly,Representative,15,Adam Neylon,R,608-266-5120,Rep.Neylon@legis.wisconsin.gov,,,
Assembly,Representative,16,Kalan Haywood,D,608-266-3786,Rep.Haywood@legis.wisconsin.gov,,,
Assembly,Representative,17,Supreme Moore Omokunde,D,608-266-5580,Rep.MooreOmokunde@legis.wisconsin.gov,,,
Assembly,Representative,18,Margaret Arney,D,NA,NA,,,
Assembly,Representative,19,Ryan Clancy,D,608-266-0650,Rep.Clancy@legis.wisconsin.gov,,,
Assembly,Representative,20,Christine Sinicki,D,608-266-8588,Rep.Sinicki@legis.wisconsin.gov,,,
Assembly,Representative,21,Jessie Rodriguez,R,608-266-0610,Rep.Rodriguez@legis.wisconsin.gov,,,
Assembly,Representative,22,Paul Melotik,R,608-237-9124,Rep.Melotik@legis.wisconsin.gov,,,
Assembly,Representative,23,Deb Andraca,D,608-266-0486,Rep.Andraca@legis.wisconsin.gov,,,
Assembly,Representative,24,Dan Knodl,R,NA,NA,,,
Assembly,Representative,25,Paul Tittl,R,608-266-0315,Rep.Tittl@legis.wisconsin.gov,,,
Assembly,Representative,26,Joe Sheehan,D,NA,NA,,,
Assembly,Representative,27,Lindee Rae Brill,F,NA,NA,,,
Assembly,Representative,28,Rob Kreibrich,R,NA,NA,,,
Assembly,Representative,29,Treig Pronschinske,R,608-266-7015,Rep.Pronschinske@legis.wisconsin.gov,,,
Assembly,Representative,30,Shannon Zimmerman,R,608-266-1526,Rep.Zimmerman@legis.wisconsin.gov,,,
Assembly,Representative,31,Tyler August,R,608-266-1190,Rep.August@legis.wisconsin.gov,,,
Assembly,Representative,32,Amanda Nedweski,R,608-266-2530,Rep.Nedweski@legis.wisconsin.gov,,,
Assembly,Representative,33,Robin Vos,R,608-266-9171,Rep.Vos@legis.wisconsin.gov,,,
Assembly,Representative,34,Rob Swearingen,R,608-266-7141,Rep.Swearingen@legis.wisconsin.gov,,,
Assembly,Representative,35,Calvin Callahan,R,608-266-7694,Rep.Callahan@legis.wisconsin.gov,,,
Assembly,Representative,36,Jeffrey Mursau,R,608-266-3780,Rep.Mursau@legis.wisconsin.gov,,,
Assembly,Representative,37,Mark Born,R,608-266-2540,Rep.Born@legis.wisconsin.gov,,,
Assembly,Representative,38,William Penterman,R,NA,NA,,,
Assembly,Representative,39,Alex Dallman,R,608-266-8077,Rep.Dallman@legis.wisconsin.gov,,,
Assembly,Representative,40,Karen DeSanto,D,NA,NA,,,
Assembly,Representative,41,Tony Kurtz,R,608-266-8531,Rep.Kurtz@legis.wisconsin.gov,,,
Assembly,Representative,42,Maureen McCarville,D,NA,NA,,,
Assembly,Representative,43,Brienne Brown,D,NA,NA,,,
Assembly,Representative,44,Ann Roe,D,NA,NA,,,
Assembly,Representative,45,Clinton Anderson,D,608-266-1192,Rep.Canderson@legis.wisconsin.gov,,,
Assembly,Representative,46,Joan Fitzgerald,D,NA,NA,,,
Assembly,Representative,47,Randy Udell,D,NA,NA,,,
Assembly,Representative,48,Andrew Hysell,D,NA,NA,,,
Assembly,Representative,49,Travis Tranel,R,608-266-1170,Rep.Tranel@legis.wisconsin.gov,,,
Assembly,Representative,50,Jenna Jacobson,D,608-266-3790,Rep.Jacobson@legis.wisconsin.gov,,,
Assembly,Representative,51,Todd Novak,R,608-266-7502,Rep.Novak@legis.wisconsin.gov,,,
Assembly,Representative,52,Lee Snodgrass,D,NA,NA,,,
Assembly,Representative,53,Dean Kaufert,R,NA,NA,,,
Assembly,Representative,54,Lori Palmeri,D,608-266-2254,Rep.Palmeri@legis.wisconsin.gov,,,
Assembly,Representative,55,Nate Gustafson,R,608-266-5719,Rep.Gustafson@legis.wisconsin.gov,,,
Assembly,Representative,56,David Murphy,R,608-266-7500,Rep.Murphy@legis.wisconsin.gov,,,
Assembly,Representative,57,Kevin Petersen,R,608-266-3794,Rep.Petersen@legis.wisconsin.gov,,,
Assembly,Representative,58,Rick Gundrum,R,608-264-8486,Rep.Gundrum@legis.wisconsin.gov,,,
Assembly,Representative,59,Robert Brooks,R,NA,NA,,,
Assembly,Representative,60,Jerry O'Connor,R,608-266-3156,Rep.OConnor@legis.wisconsin.gov,,,
Assembly,Representative,61,Bob Donovan,R,608-267-5158,Rep.Donovan@legis.wisconsin.gov,,,
Assembly,Representative,62,Angelina Cruz,D,NA,NA,,,
Assembly,Representative,63,Robert Wittke,R,608-266-0731,Rep.Wittke@legis.wisconsin.gov,,,
Assembly,Representative,64,Tip McGuire,D,608-266-5504,Rep.McGuire@legis.wisconsin.gov,,,
Assembly,Representative,65,Ben DeSmidt,D,NA,NA,,,
Assembly,Representative,66,Greta Neubauer,D,608-266-0634,Rep.Neubauer@legis.wisconsin.gov,,,
Assembly,Representative,67,David Armstrong,R,608-266-2519,Rep.Armstrong@legis.wisconsin.gov,,,
Assembly,Representative,68,Rob Summerfield,R,608-266-1194,Rep.Summerfield@legis.wisconsin.gov,,,
Assembly,Representative,69,Karen Hurd,R,NA,NA,,,
Assembly,Representative,70,Nancy VanderMeer,R,608-266-8366,Rep.VanderMeer@legis.wisconsin.gov,,,
Assembly,Representative,71,Vinnie Miresse,d,NA,NA,,,
Assembly,Representative,72,Scott Krug,R,608-266-0215,Rep.Krug@legis.wisconsin.gov,,,
Assembly,Representative,73,Angela Stroud,D,NA,NA,,,
Assembly,Representative,74,Chanz Green,R,608-266-7690,Rep.Green@legis.wisconsin.gov,,,
Assembly,Representative,75,Duke Tucker,R,NA,NA,,,
Assembly,Representative,76,Francesca Hong,D,608-266-5342,Rep.Hong@legis.wisconsin.gov,,,
Assembly,Representative,77,Renuka Mayadev,D,NA,NA,,,
Assembly,Representative,78,Shelia Stubbs,D,608-266-3784,Rep.Stubbs@legis.wisconsin.gov,,,
Assembly,Representative,79,Lisa Subeck,D,608-266-7521,Rep.Subeck@legis.wisconsin.gov,,,
Assembly,Representative,80,Mike Bare,D,608-266-3520,Rep.Bare@legis.wisconsin.gov,,,
Assembly,Representative,81,Alex Joers,D,NA,NA,,,
Assembly,Representative,82,Scott Allen,R,608-266-8580,Rep.Allen@legis.wisconsin.gov,,,
Assembly,Representative,83,Dave Maxey,R,NA,NA,,,
Assembly,Representative,84,Chuck Wichgers,R,608-266-8590,Rep.Wichgers@legis.wisconsin.gov,,,
Assembly,Representative,85,Patrick Snyder,R,608-266-0654,Rep.Snyder@legis.wisconsin.gov,,,
Assembly,Representative,86,John Spiros,R,608-266-1182,Rep.Spiros@legis.wisconsin.gov,,,
Assembly,Representative,87,Brent Jacobson,R,NA,NA,,,
Assembly,Representative,88,Benjamin Franklin,R,NA,NA,,,
Assembly,Representative,89,Ryan Spaude,D,NA,NA,,,
Assembly,Representative,90,Amaad Rivera Wagner,D,NA,NA,,,
Assembly,Representative,91,Jodi Emerson,D,608-266-7461,Rep.Emerson@legis.wisconsin.gov,,,
Assembly,Representative,92,Clint Moses,R,NA,NA,,,
Assembly,Representative,93,Christian Phelps,D,NA,NA,,,
Assembly,Representative,94,Steve Doyle,D,608-266-0631,Rep.Doyle@legis.wisconsin.gov,,,
Assembly,Representative,95,Jill Billings,D,608-266-5780,Rep.Billings@legis.wisconsin.gov,,,
Assembly,Representative,96,Tara Johnson,D,NA,NA,,,
Assembly,Representative,97,Cindi Duchow,R,NA,NA,,,
Assembly,Representative,98,Jim Piwowarczyk,R,NA,NA,,,
Assembly,Representative,99,Barbara Dittrich,R,608-266-8551,Rep.Dittrich@legis.wisconsin.gov,,,
